player,team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
RobbieGlendinning,AUS,5,20,4,6,0,0,2,6,3,6,1,0,0.3,0.391,0.6,0.991
AlexHall,AUS,5,22,3,5,1,1,2,5,2,5,0,0,0.227,0.292,0.636,0.928
TimKennelly,AUS,5,16,5,4,1,0,1,2,3,5,0,0,0.25,0.4,0.5,0.9
RobbiePerkins,AUS,5,16,3,3,0,0,1,3,1,2,0,0,0.188,0.278,0.375,0.653
RixonWingrove,AUS,5,16,2,6,1,0,1,7,2,4,0,0,0.375,0.444,0.625,1.069
UlrichBojarski,AUS,5,14,2,3,0,0,0,0,2,3,0,0,0.214,0.353,0.214,0.567
AndrewCampbell,AUS,3,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
LoganWade,AUS,5,12,2,4,2,0,0,5,4,2,0,0,0.333,0.471,0.5,0.971
AaronWhitefield,AUS,5,13,5,4,1,0,0,2,4,4,2,0,0.308,0.471,0.385,0.856
DarrylGeorge,AUS,5,17,5,3,1,0,0,2,2,4,0,0,0.176,0.333,0.235,0.568
ErisbelArruebarrena,CUB,6,22,4,8,0,0,1,3,2,3,0,0,0.364,0.417,0.5,0.917
YoanMoncada,CUB,6,23,4,10,4,0,1,5,4,3,0,0,0.435,0.519,0.739,1.258
YoenisCespedes,CUB,2,6,0,0,0,0,0,0,2,0,0,0,0,0.25,0,0.25
AlfredoDespaigne,CUB,5,21,2,7,3,0,0,5,1,3,0,0,0.333,0.348,0.476,0.824
YadirDrake,CUB,6,21,5,8,2,0,0,2,3,2,0,0,0.381,0.458,0.476,0.934
YurisbelGracial,CUB,3,4,1,1,0,1,0,0,0,0,0,0,0.25,0.25,0.75,1
YoelkisGuibert,CUB,6,18,5,6,1,0,0,2,4,2,0,0,0.333,0.455,0.389,0.844
AndyIbanez,CUB,1,4,0,1,0,0,0,1,0,0,0,0,0.25,0.25,0.25,0.5
ArielMartinez,CUB,4,12,1,1,0,0,0,0,1,4,0,0,0.083,0.214,0.083,0.297
YadilMujica,CUB,5,15,1,6,2,0,0,6,0,2,0,0,0.4,0.375,0.533,0.908
LorenzoQuintana,CUB,3,8,0,1,0,0,0,1,1,1,0,0,0.125,0.222,0.125,0.347
LuisRobert,CUB,6,27,2,7,1,0,0,4,0,8,0,0,0.259,0.286,0.296,0.582
RoelSantos,CUB,6,19,6,7,0,0,0,2,4,1,2,1,0.368,0.478,0.368,0.846
DominicFletcher,ITA,5,19,5,7,2,0,1,4,4,3,0,0,0.368,0.478,0.632,1.11
BenDeLuzio,ITA,5,16,2,2,0,1,0,2,0,5,0,0,0.125,0.176,0.25,0.426
DavidFletcher,ITA,5,20,2,4,1,0,0,0,1,3,0,1,0.2,0.238,0.25,0.488
SalFrelick,ITA,5,23,3,7,3,0,0,4,1,2,1,0,0.304,0.333,0.435,0.768
VitoFriscia,ITA,3,5,1,0,0,0,0,0,5,3,0,0,0,0.545,0,0.545
RobelGarcia,ITA,2,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0
NickyLopez,ITA,5,19,2,9,1,1,0,7,1,1,1,0,0.474,0.524,0.632,1.156
MilesMastrobuoni,ITA,5,18,1,5,2,0,0,2,1,3,1,0,0.278,0.316,0.389,0.705
DominicMiroglio,ITA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VinniePasquantino,ITA,5,20,1,4,0,0,0,0,2,7,0,0,0.2,0.273,0.2,0.473
BrettSullivan,ITA,5,19,4,7,0,0,0,2,2,1,0,0,0.368,0.409,0.368,0.777
JohnValente,ITA,3,7,2,1,0,0,0,1,0,3,0,0,0.143,0.143,0.143,0.286
ShugoMaki,JPN,6,15,2,3,0,0,2,2,1,2,0,0,0.2,0.25,0.6,0.85
KazumaOkamoto,JPN,7,18,5,6,1,0,2,7,8,4,0,1,0.333,0.556,0.722,1.278
MasatakaYoshida,JPN,7,22,5,9,1,0,2,13,4,1,0,0,0.409,0.531,0.727,1.258
KensukeKondoh,JPN,7,26,9,9,4,0,1,5,8,9,0,0,0.346,0.5,0.615,1.115
MunetakaMurakami,JPN,7,26,6,6,3,0,1,6,6,13,0,0,0.231,0.364,0.462,0.826
ShoheiOhtani,JPN,7,23,9,10,4,0,1,8,10,6,1,0,0.435,0.606,0.739,1.345
SosukeGenda,JPN,5,12,1,3,0,0,0,2,5,2,2,0,0.25,0.471,0.25,0.721
TakuyaKai,JPN,4,11,0,1,1,0,0,2,3,5,0,0,0.091,0.286,0.182,0.468
YuheiNakamura,JPN,5,7,3,3,2,0,0,1,4,1,0,0,0.429,0.636,0.714,1.35
TakumuNakano,JPN,5,10,6,3,0,1,0,0,4,1,2,0,0.3,0.5,0.5,1
LarsNootbaar,JPN,7,26,7,7,0,0,0,4,6,6,2,0,0.269,0.424,0.269,0.693
TetsutoYamada,JPN,6,15,1,4,0,0,0,2,5,5,3,0,0.267,0.45,0.267,0.717
HotakaYamakawa,JPN,3,5,0,1,0,0,0,2,0,1,0,0,0.2,0.143,0.2,0.343
JoeyMeneses,MEX,6,27,5,10,0,0,2,6,0,2,1,0,0.37,0.37,0.593,0.963
RandyArozarena,MEX,6,20,8,9,6,0,1,9,6,5,0,0,0.45,0.607,0.9,1.507
IsaacParedes,MEX,6,24,3,9,0,0,1,6,2,6,1,0,0.375,0.444,0.5,0.944
RowdyTellez,MEX,6,25,3,7,1,0,1,5,2,4,0,0,0.28,0.333,0.44,0.773
LuisUrias,MEX,6,18,2,5,0,0,1,4,2,1,0,0,0.278,0.381,0.444,0.825
JonathanAranda,MEX,3,6,0,1,0,0,0,0,0,3,0,0,0.167,0.167,0.167,0.334
AustinBarnes,MEX,5,18,4,5,2,0,0,0,4,6,1,0,0.278,0.409,0.389,0.798
AlekThomas,MEX,6,20,6,4,0,0,0,0,1,5,2,0,0.2,0.273,0.2,0.473
AlanTrejo,MEX,6,20,2,3,0,0,0,1,4,10,0,1,0.15,0.292,0.15,0.442
AlexVerdugo,MEX,6,23,2,3,1,0,0,4,2,2,0,0,0.13,0.222,0.174,0.396
EddieRosario,PUR,5,17,2,3,1,0,2,4,1,4,0,0,0.176,0.211,0.588,0.799
JavierBaez,PUR,5,19,4,7,3,0,1,6,0,3,1,0,0.368,0.368,0.684,1.052
ChristianVazquez,PUR,4,15,2,5,2,0,1,3,1,5,0,0,0.333,0.375,0.667,1.042
EnriqueHernandez,PUR,5,20,5,6,2,0,0,4,3,4,0,0,0.3,0.391,0.4,0.791
FranciscoLindor,PUR,5,20,6,9,0,1,0,5,1,5,1,0,0.45,0.5,0.55,1.05
VimaelMachin,PUR,4,9,3,2,0,0,0,0,2,1,0,0,0.222,0.364,0.222,0.586
MartinMaldonado,PUR,4,12,5,4,0,0,0,0,2,3,0,0,0.333,0.467,0.333,0.8
MJMelendez,PUR,5,15,3,3,1,0,0,4,4,6,0,0,0.2,0.368,0.267,0.635
EmmanuelRivera,PUR,5,18,2,5,0,1,0,5,1,3,0,0,0.278,0.3,0.389,0.689
NeftaliSoto,PUR,4,11,1,1,0,0,0,0,0,3,0,0,0.091,0.091,0.091,0.182
NelsonVelazquez,PUR,2,5,1,1,0,0,0,0,1,1,0,0,0.2,0.333,0.2,0.533
TreaTurner,USA,6,23,6,9,0,0,5,11,2,5,0,0,0.391,0.44,1.043,1.483
KyleSchwarber,USA,5,14,4,3,0,0,2,4,5,1,0,0,0.214,0.45,0.643,1.093
PaulGoldschmidt,USA,7,25,8,7,1,0,1,5,7,7,0,0,0.28,0.455,0.44,0.895
CedricMullins,USA,6,10,3,2,0,1,1,2,0,4,0,0,0.2,0.2,0.7,0.9
MikeTrout,USA,7,27,4,8,2,1,1,7,5,12,1,0,0.296,0.406,0.556,0.962
KyleTucker,USA,4,15,2,5,1,1,1,4,1,3,0,0,0.333,0.353,0.733,1.086
PeteAlonso,USA,5,14,1,2,0,0,0,1,0,4,0,0,0.143,0.2,0.143,0.343
TimAnderson,USA,6,18,3,6,1,1,0,5,2,7,1,0,0.333,0.381,0.5,0.881
NolanArenado,USA,7,26,5,10,3,1,0,5,2,3,0,0,0.385,0.448,0.577,1.025
MookieBetts,USA,7,32,7,10,1,0,0,1,0,1,0,0,0.313,0.324,0.344,0.668
JeffMcNeil,USA,5,9,2,1,0,0,0,0,4,0,0,0,0.111,0.385,0.111,0.496
J.T.Realmuto,USA,4,12,1,6,2,0,0,2,1,0,0,0,0.5,0.533,0.667,1.2
LuisArraez,VEN,5,17,4,4,1,0,2,4,2,4,0,0,0.235,0.316,0.647,0.963
AnthonySantander,VEN,5,17,4,6,1,1,2,5,3,2,0,0,0.353,0.45,0.882,1.332
EduardoEscobar,VEN,3,10,1,1,0,0,1,1,0,3,0,0,0.1,0.1,0.4,0.5
SalvadorPerez,VEN,4,14,5,6,4,0,1,6,0,1,0,0,0.429,0.467,0.929,1.396
EugenioSuarez,VEN,4,14,2,7,0,0,1,6,1,5,0,0,0.5,0.533,0.714,1.247
RonaldAcuna,VEN,5,18,4,4,1,0,0,2,2,4,3,0,0.222,0.286,0.278,0.564
JoseAltuve,VEN,5,14,4,3,1,0,0,0,5,5,0,0,0.214,0.45,0.286,0.736
MiguelCabrera,VEN,2,9,0,1,0,0,0,0,0,2,0,0,0.111,0.111,0.111,0.222
AndresGimenez,VEN,5,17,2,5,0,0,0,1,2,1,0,0,0.294,0.368,0.294,0.662
OmarNarvaez,VEN,2,4,0,1,0,0,0,0,0,1,0,0,0.25,0.25,0.25,0.5
DavidPeralta,VEN,5,14,0,5,2,0,0,4,3,1,1,0,0.357,0.471,0.5,0.971
LuisRengifo,VEN,3,6,2,1,0,0,0,0,0,2,0,0,0.167,0.167,0.167,0.334